"soil_id","L","eps"
6,0.0714186031371355,0.637875897437334
9,0.14946560184937,0.450934074446559
10,0.0726663623936474,0.434713754802942
12,0.124127757330425,0.461781509406865
17,0.0363380661141127,0.628055504895747
5,0.0385242860252038,0.265669368766248
11,0.143935931012966,0.477942731790245
3,0.149143510051072,0.554434114508331
16,0.0888631810666993,0.395578247122467
16,0.118945199465379,0.752935812808573
8,0.147529693674296,0.376271101087332
1,0.0230388368899003,0.448990813456476
6,0.0638129936903715,0.346506125479937
17,0.0920342241181061,0.21043712310493
14,0.0457007887819782,0.275870925374329
4,0.116400120216422,0.72039896864444
1,0.0532517771469429,0.134729476086795
6,0.103530646674335,0.443329867906868
9,0.0688158881710842,0.269665443524718
11,0.0335767698707059,0.85353229790926
16,0.0565734598785639,0.163314977660775
1,0.0246717709582299,0.666132558323443
1,0.0585955709638074,0.662319606728852
13,0.0330908068083227,0.733615608885884
13,0.0989761680457741,0.376340306550264
6,0.132871979116462,0.200068931095302
2,0.053845981080085,0.410455876030028
15,0.107166941300966,0.523668852262199
8,0.0387498695310205,0.539785552583635
11,0.134919693446718,0.291431102342904
10,0.0921634563151747,0.7258734786883
7,0.133332306304947,0.15504974424839
11,0.147629137067124,0.252499626018107
13,0.0548513212706894,0.135041614249349
17,0.124178489609621,0.198522969707847
3,0.0938107236241922,0.402307590283454
16,0.130778491804376,0.453609989024699
9,0.0562920291163027,0.731266945414245
11,0.0995703594293445,0.137305373512208
3,0.0638652619067579,0.501591038703919
1,0.0469457930652425,0.174389416538179
10,0.0298687109909952,0.298175045661628
12,0.114067371701822,0.330498155765235
14,0.139665877865627,0.651220806129277
13,0.143470462216064,0.105112867429852
9,0.100528281275183,0.595025510899723
17,0.0188454383518547,0.804670873098075
2,0.149150907779112,0.343050473742187
16,0.111246157544665,0.729053086042404
6,0.0631126982532442,0.23965663369745
9,0.0250460794055834,0.856816391088069
8,0.0873413335578516,0.71618342269212
7,0.0242773102130741,0.521032302267849
8,0.0977823482174426,0.512917903251946
4,0.0255700415931642,0.778609133511782
8,0.0115758052561432,0.706621548905969
2,0.112666830504313,0.302015370130539
13,0.0471689949883148,0.541945956647396
5,0.0793710640026256,0.391512282751501
17,0.080499916751869,0.564450028911233
