"N","Cab","Car","Anth","LMA","EWT","alpha","Cbrown","Cs","Prot","CBC","Cx","rho_thermal","tau_thermal","Vcmax25","BallBerrySlope","BallBerry0","Type","kV","Rdparam","Kn0","Knalpha","Knbeta","Tyear","beta","kNPQs","qLs","stressfactor","fqe","spectrum","rss","rs_thermal","cs","rhos","lambdas","SMC","BSMBrightness","BSMlat","BSMlon","LAI","hc","LIDFa","LIDFb","TypeLidf","leafwidth","hspot","Cv","crowndiameter","zo","d","Cd","rb","CR","CD1","Psicor","CSSOIL","rbs","rwc","z","Rin","Rli","Ta","p","ea","RH","u","Ca","Oa","startDate","endDate","LAT","LON","timezn","tts","tto","psi"
2.36273256037384,48.5924615682435,1.6429839131888,0.614222289528698,0.130048487009481,0.0699044655542821,41.1984223639593,0.0659005513880402,0.690114696044475,0,0,0.627182264812291,0.01,0.01,136.088226224412,12.1598488874733,0.01,"C3",0.64,0.015,2.48,2.83,0.114,15,0.51,0,1,1,0.01,1,500,0.06,1180,1800,1.55,25,0.5,25,45,0.264673781441525,2.39325566182379,0.456362497527152,-0.0473625790327787,1,0.1,0,1,1,0.25,1.34,0.3,10,0.35,20.6,0.2,0.01,10,0,5,600,300,20,970,15,0.2375782225281,2,410,209,"2018-08-01","2018-09-01",51.55,5.55,1,9.6504362532869,26.1594489554409,101.712194150314
3.86491540633142,33.3978285134602,0.220152962720022,0.720158089185134,0.0112989600747824,0.084835464367643,43.6624339688569,0.968402797821909,0.467499357415363,0,0,0.0847940237727016,0.01,0.01,41.5067318363581,5.3845373664517,0.01,"C3",0.64,0.015,2.48,2.83,0.114,15,0.51,0,1,1,0.01,1,500,0.06,1180,1800,1.55,25,0.5,25,45,3.03102250869852,4.1915361705469,0.962064340244979,-0.114081291947514,1,0.1,0,1,1,0.25,1.34,0.3,10,0.35,20.6,0.2,0.01,10,0,5,600,300,20,970,15,0.567025675671175,2,410,209,"2018-08-01","2018-09-01",51.55,5.55,1,13.6222810484469,20.3652031731326,71.6335223894566
2.7269307654351,62.0271968776226,14.7920218878426,0.912776019889861,0.141078960662708,0.0974687770940363,35.0040808087215,0.370398279512301,0.136986195575446,0,0,0.606318179750815,0.01,0.01,87.2860981604899,7.40581046976149,0.01,"C3",0.64,0.015,2.48,2.83,0.114,15,0.51,0,1,1,0.01,1,500,0.06,1180,1800,1.55,25,0.5,25,45,6.0228289939696,0.838626031996682,0.0786111261695623,0.615452508907765,1,0.1,0,1,1,0.25,1.34,0.3,10,0.35,20.6,0.2,0.01,10,0,5,600,300,20,970,15,0.261836690595374,2,410,209,"2018-08-01","2018-09-01",51.55,5.55,1,2.69498642301187,22.5707624712959,135.528138941154
4.14905221201479,46.189663959142,21.7403845104855,1.57904177112505,0.108841407950968,0.0305156774818897,29.0542856929824,0.478885788237676,0.510320722591132,0,0,0.556160510517657,0.01,0.01,157.235352894408,11.961372022517,0.01,"C3",0.64,0.015,2.48,2.83,0.114,15,0.51,0,1,1,0.01,1,500,0.06,1180,1800,1.55,25,0.5,25,45,5.92530091062654,3.62780214799568,-0.631156532093883,0.880894091911614,1,0.1,0,1,1,0.25,1.34,0.3,10,0.35,20.6,0.2,0.01,10,0,5,600,300,20,970,15,0.191671825479716,2,410,209,"2018-08-01","2018-09-01",51.55,5.55,1,11.3360737287439,18.8691405148711,82.9610344162211
4.32140185288154,43.3891059976007,11.1572971451096,2.34644082258455,0.067835309356451,0.108690113201737,3.81422099657357,0.199148431420326,0.972976223099977,0,0,0.475905213970691,0.01,0.01,189.833664867387,5.77997222612612,0.01,"C3",0.64,0.015,2.48,2.83,0.114,15,0.51,0,1,1,0.01,1,500,0.06,1180,1800,1.55,25,0.5,25,45,4.13222393516917,3.40328781830613,-0.843663386069238,0.571805309969932,1,0.1,0,1,1,0.25,1.34,0.3,10,0.35,20.6,0.2,0.01,10,0,5,600,300,20,970,15,0.273831629659981,2,410,209,"2018-08-01","2018-09-01",51.55,5.55,1,10.2747677976731,18.3213071606588,83.8652818417177
1.63666949816979,40.171893995812,0.939375115558505,4.25311710592359,0.14725125906989,0.12610139218159,10.338900689967,0.630559740588069,0.184094527037814,0,0,0.00914281629957259,0.01,0.01,12.2077673521126,10.1305973911658,0.01,"C3",0.64,0.015,2.48,2.83,0.114,15,0.51,0,1,1,0.01,1,500,0.06,1180,1800,1.55,25,0.5,25,45,4.94329261593521,2.51898859627545,0.597963855136186,-0.566340178716928,1,0.1,0,1,1,0.25,1.34,0.3,10,0.35,20.6,0.2,0.01,10,0,5,600,300,20,970,15,0.935950057813898,2,410,209,"2018-08-01","2018-09-01",51.55,5.55,1,7.91821240796708,17.3165867070202,65.157080325298
3.08431646414101,57.4928713600998,10.2572645817418,1.37469209823757,0.0533061205875129,0.0830895628314465,50.2927160169929,0.931988730095327,0.592937282985076,0,0,0.900976475561038,0.01,0.01,223.381992411683,8.37830379302613,0.01,"C3",0.64,0.015,2.48,2.83,0.114,15,0.51,0,1,1,0.01,1,500,0.06,1180,1800,1.55,25,0.5,25,45,0.857661768049002,2.80653425527271,-0.183821316808462,-0.400977141223848,1,0.1,0,1,1,0.25,1.34,0.3,10,0.35,20.6,0.2,0.01,10,0,5,600,300,20,970,15,0.924636680167168,2,410,209,"2018-08-01","2018-09-01",51.55,5.55,1,6.37629351695068,23.0707876535598,14.7888736333698
4.17725713318214,44.4404982968933,9.13040527957492,1.97166325594299,0.0199457497801632,0.144820268964395,3.91613314859569,0.904749368550256,0.526713368482888,0,0,0.398098017787561,0.01,0.01,221.83305105078,16.7955865871627,0.01,"C3",0.64,0.015,2.48,2.83,0.114,15,0.51,0,1,1,0.01,1,500,0.06,1180,1800,1.55,25,0.5,25,45,2.09595972956158,1.87992290104739,-0.00873157801106572,-0.934809178113937,1,0.1,0,1,1,0.25,1.34,0.3,10,0.35,20.6,0.2,0.01,10,0,5,600,300,20,970,15,0.72654083953239,2,410,209,"2018-08-01","2018-09-01",51.55,5.55,1,7.18395828036591,22.8479388635606,28.8592708110809
3.15430504339747,70.6384511305215,11.9146207638551,0.56616383837536,0.0746890790294856,0.185128542920575,57.7948332857341,0.558964974014089,0.755120646441355,0,0,0.405716338427737,0.01,0.01,198.741904253431,1.32774129020981,0.01,"C3",0.64,0.015,2.48,2.83,0.114,15,0.51,0,1,1,0.01,1,500,0.06,1180,1800,1.55,25,0.5,25,45,4.08364113594871,2.7989664664492,0.0744640650227666,-0.622276477515697,1,0.1,0,1,1,0.25,1.34,0.3,10,0.35,20.6,0.2,0.01,10,0,5,600,300,20,970,15,0.665909813018516,2,410,209,"2018-08-01","2018-09-01",51.55,5.55,1,12.6705760171171,15.7084209658206,136.540580098517
2.86984420591034,57.056528128355,3.34194389288314,4.46907371142879,0.0157626140862703,0.104331922112033,42.7212319755927,0.430751098087057,0.259701613569632,0,0,0.928050592308864,0.01,0.01,37.520255188283,6.00965427840129,0.01,"C3",0.64,0.015,2.48,2.83,0.114,15,0.51,0,1,1,0.01,1,500,0.06,1180,1800,1.55,25,0.5,25,45,5.33529476204421,0.856972840381786,0.532853632234037,-0.127097309101373,1,0.1,0,1,1,0.25,1.34,0.3,10,0.35,20.6,0.2,0.01,10,0,5,600,300,20,970,15,0.822103901300579,2,410,209,"2018-08-01","2018-09-01",51.55,5.55,1,2.39218447124586,22.9712574358564,145.359975616448
