"Cab","Car","Anth","LMA","EWT","Cbrown","Prot","CBC","N","alpha","LIDFa","LIDFb","TypeLidf","LAI","hspot","tts","tto","psi"
55.7928128632885,10.8473114457121,3.35492471954785,0.0122755652281921,0.0197928270334378,0.972589801065624,0.0283368486292195,0.0162063352797204,2.19969989988022,40,50.1224443409592,0,2,2.30273850634694,0,0,17.5190305500291,0
52.2027560923444,10.6229850205485,3.06373124057427,0.0186614905332681,0.0344058950869367,0.249837619252503,0.0108633850609185,0.0114942351144808,1.58800705126487,40,52.463828837499,0,2,2.14637502329424,0,0,15.446572402725,0
25.2441082801387,5.42430996394713,1.94133630569559,0.00586510835564695,0.0345824131662957,0.626042773481458,0.0180325496877148,0.00827840208082926,2.28979814844206,40,64.3722178973258,0,2,3.10512036713772,0,0,20.8004272403196,0
60.1757188232132,12.0048227035387,3.65315496758558,0.0155809761688579,0.0260031880429015,0.554607737110928,0.0226804131718562,0.000255109787245747,1.61800265358761,40,58.2258221693337,0,2,2.87074235104956,0,0,24.4448660721537,0
45.9433499150805,9.26319943954075,4.04676676006056,0.00970242648618296,0.0291595532260835,0.245516447350383,0.0238666825129767,0.0189656682084943,2.35506926383823,40,61.2066366523504,0,2,4.78788159112446,0,0,18.8751394255087,0
15.3257563223353,3.33061933378187,3.90274530602619,0.0131454895250499,0.00272542617097497,0.177940601250157,0.00177008915947285,0.0173115719036222,2.27655407600105,40,65.003768960014,0,2,3.18227951298468,0,0,17.590335655259,0
62.6572520992208,11.1008679786744,1.85834435408469,0.0151865142048337,0.0089726095162332,0.814658981515095,0.00705851260443451,0.0226651804610528,1.52667920733802,40,61.0432062204927,0,2,4.68085491564125,0,0,17.2467106743716,0
65.3173315323222,13.3550365629791,3.2156644128263,0.0126005539519247,0.00967395240161568,0.096038434188813,0.00747506261090282,0.0220776073613833,1.55969392508268,40,67.2067549731582,0,2,2.0110139164608,0,0,29.5728360617068,0
61.8152799013813,12.3071141773143,3.42038646654692,0.00774457545252517,0.0107678323448636,0.873565075453371,0.0231151451051421,0.0209571573544899,2.3551307937596,40,33.1938701309264,0,2,4.70529116410762,0,0,28.4004287340213,0
42.1806918373828,9.06890501894757,3.18363697011955,0.0180838776601013,0.00870217424351722,0.670550092123449,0.0224138442415488,0.0012846730140713,2.44544507842511,40,52.891294946894,0,2,4.88367162761278,0,0,26.2820907030255,0
25.4679061255778,4.64359759259031,1.41913979128003,0.0108608585339971,0.0109632578138262,0.0888887194450945,0.028753581649398,0.0181100575720472,2.48697775392793,40,48.4730291645974,0,2,4.76471330947243,0,0,27.1580299932975,0
37.8832260167537,7.05817713352664,2.67648238339461,0.00738193242927082,0.00528662689169869,0.184409697540104,0.0249098902951949,0.029833322976178,2.10996048036031,40,35.4172161780298,0,2,3.88626151229255,0,0,28.3364900120068,0
51.5996510648232,9.72362281652965,1.77074566762894,0.0147561877395492,0.0251467564953491,0.086379760876298,0.0174454970005527,0.0273011467552697,1.88931108778343,40,53.2984896656126,0,2,2.31426086556166,0,0,17.472109812079,0
52.1554948977109,10.6657817852898,2.31126924057025,0.00894733160501346,0.029829759687651,0.29405665397644,0.0184381367679522,0.00527807701268932,2.33100813021883,40,34.5831860601902,0,2,4.55804699682631,0,0,20.8601054758765,0
51.6177647839823,10.1098749382467,1.81211478752084,0.0121387533075176,0.0345308889523149,0.563939048210159,0.00963136271818774,0.00214799412775552,1.62935262452811,40,68.0981197673827,0,2,2.69025701773353,0,0,23.4792873391416,0
29.3340584178925,5.50222426000094,0.942835645750165,0.0150355744222179,0.0347754195029847,0.765492270467803,0.0286192535661929,0.00295423092606245,1.73028914560564,40,36.6737935226411,0,2,3.47515021148138,0,0,22.999691774603,0
63.7761550468413,12.5760993005359,4.43167324305978,0.00869449823279865,0.0162098934622481,0.67909093061462,0.0217481186107802,0.0195249766386417,1.60494883893989,40,66.8129663355649,0,2,3.0155677748844,0,0,28.0214510089718,0
34.2298606824418,6.43161425475307,4.44171362521593,0.00815860633156262,0.00348431090451777,0.00519789289683104,0.000246491028536111,0.0111372024094686,1.76074448716827,40,66.7366140522063,0,2,4.0572441436816,0,0,24.4523219112307,0
41.3458963343086,7.72396209085077,4.3532453707885,0.00542474348214455,0.0228104545678943,0.367183846188709,0.0200209649714641,0.0280287476735632,1.60874262219295,40,37.2000766173005,0,2,4.04636341077276,0,0,28.6844027938787,0
