"Cab","Car","Anth","LMA","EWT","Cbrown","Prot","CBC","N","alpha","LIDFa","LIDFb","TypeLidf","LAI","hspot","tts","tto","psi","LAIu","sd","cd","h","skyl"
48.0153068490454,9.58148870383548,1.88325864973012,0,0.0262731307907961,0.0241234863642603,0.00165206707415171,0.0282283636669419,1.8767468156293,40,66.9805050641298,0,2,2.52445309562609,0,0,15.124948178418,0,1.21599203411024,634.471289115027,5.7559490185231,14.3465118482709,0.205392300570384
37.5338582121719,7.86930007056081,0.730778094031848,0,0.00890445419633761,0.626478569814935,0.0100829476655368,0.0239809484182065,1.87184025347233,40,45.2285614516586,0,2,2.21576569066383,0,0,26.3185932766646,0,1.25126532709692,413.312888983637,6.81429142062552,14.1157171176746,0.262623780651484
70.2310989828279,13.5384389549389,0.198869443265721,0,0.0111879978943616,0.163163017714396,0.0140162388175121,0.0297273584918445,1.58768752566539,40,42.9984907992184,0,2,4.00077827600762,0,0,17.4975137016736,0,1.38972292859107,476.036182651296,2.44603687128983,27.5602127611637,0.175865862937644
61.3278775158627,12.6005849293007,3.98201986786444,0,0.0269658284038305,0.863802601816133,0.0208965798513289,0.0137737935590628,2.26109378808178,40,58.9825751166791,0,2,2.89458582992665,0,0,25.2517713373527,0,1.16487938812934,678.629355551675,6.65746263857,10.3789243055508,0.177601665561087
42.0375144521696,8.06648383389294,2.53855353675317,0,0.0169868151629344,0.608604881679639,0.0258394657236128,0.00262290567023447,1.5553846352268,40,38.4891867544502,0,2,4.2831811949145,0,0,28.8127708376851,0,1.37473232375924,500.111127225682,5.34977145539597,18.3153149858117,0.141014466015622
37.8461842356979,7.69448353000128,1.52526278130244,0,0.0194427182455547,0.666264879750088,0.0242357640977204,0.0117444029370323,2.12427774793468,40,32.785164937377,0,2,2.95524428435601,0,0,19.523228405742,0,0.348870670190081,837.338456371799,6.1810914943926,15.2682912768796,0.143376454722602
74.076294250571,14.6231240009909,1.38166369555984,0,0.0164267355478369,0.39330424554646,0.00758331811127486,0.00607629434712464,1.69677407620475,40,59.8562318179756,0,2,3.08069650363177,0,0,18.8638389785774,0,0.926620624493808,465.027503902093,3.75184210878797,14.7477861633524,0.195472531323321
27.4011454129485,5.52941973611189,1.27080931712408,0,0.0211955976663157,0.637291368562728,0.014462550588944,0.00564986632751999,2.46961986715905,40,60.4587135370821,0,2,2.04387367307208,0,0,28.6045997100882,0,0.442228620359674,826.479752920568,5.64579033222981,13.2370652491227,0.159778131823987
54.9026906845979,10.7476365821438,1.19848659890704,0,0.0310789909460582,0.899424237431958,0.0183270739797107,0.0131188474916853,2.4858128100168,40,45.0535454135388,0,2,2.89357343362644,0,0,29.2779389710631,0,0.244186687516049,520.984935527667,3.36820736923255,15.7252203021199,0.0653795236255974
53.5739613268151,11.0585078248887,1.28722653072327,0,0.00825946498662233,0.779217314906418,0.0219924659270188,0.0238750488370564,1.7590318149887,40,37.8939610160887,0,2,2.17068458208814,0,0,26.9063983205706,0,0.377130645257421,646.951980656013,3.53521922184154,29.681218736805,0.157281652279198
57.4589165117142,10.7592658642267,3.50089812185615,0,0.00501412200462073,0.571925076888874,0.0203342405228177,0.0105306484209537,2.24820369924419,40,58.4949179366231,0,2,3.8252102190163,0,0,27.2696032212116,0,0.626924044708721,758.633058797568,2.95616184407845,11.7448003729805,0.227730906463694
15.8059088653408,3.01977736369876,0.736136922379956,0,0.015104032500647,0.437402880983427,0.027216640506261,0.0148294103271957,2.22221134835854,40,65.349593013525,0,2,4.46264191390947,0,0,22.8114517650101,0,0.935809754603542,874.156301189214,6.51544744311832,15.2544593811035,0.211239802371711
61.3723922948967,11.7870239611085,1.04391018720344,0,0.0205683727487922,0.438789671286941,0.0119537909408333,0.0130077294432186,1.96754580526613,40,59.6481582336128,0,2,3.90879941196181,0,0,20.4391577944625,0,0.518030216218904,810.298658721149,4.6566136663314,10.2989833708853,0.263992720935494
